Code,Name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
K04000001,England and Wales,3.55,3.66,3.89,4.13,4.42,5.06,5.85,6.51,6.74,6.96,7.17,6.9,6.35,6.83,6.73,6.76,6.74,6.95,7.37,7.59
E92000001,England ,3.54,3.67,3.96,4.18,4.5,5.12,5.91,6.58,6.79,6.95,7.15,6.95,6.39,6.85,6.8,6.77,6.76,7.09,7.52,7.72
E12000001,North East,2.98,3.01,3.07,2.98,3,3.29,3.95,4.73,5.18,5.68,5.74,5.53,5.2,5.38,5.1,5,5.02,5.02,5.15,5.12
E12000002,North West,3.01,3.01,3.09,3.13,3.23,3.51,4.02,4.83,5.33,5.68,5.83,5.58,5.2,5.46,5.28,5.24,5.18,5.42,5.55,5.62
E12000003,Yorkshire and The Humber,3.12,3.05,3.15,3.14,3.23,3.55,4.2,5.14,5.49,5.77,6.02,5.72,5.27,5.66,5.39,5.35,5.29,5.54,5.68,5.7
E12000004,East Midlands,3.17,3.26,3.42,3.46,3.72,4.18,5.04,5.94,6.07,6.15,6.43,6.1,5.42,5.8,5.7,5.56,5.62,5.94,6.28,6.47
E12000005,West Midlands,3.4,3.35,3.53,3.67,3.92,4.42,5.21,6.02,6.2,6.36,6.48,6.08,5.82,6.19,5.93,5.9,5.84,6.21,6.27,6.35
E12000006,East of England,3.68,3.85,4.11,4.42,4.76,5.78,6.51,7.17,7.38,7.44,7.76,7.62,6.86,7.45,7.32,7.27,7.43,7.83,8.42,8.96
E12000007,London,4,4.34,4.94,5.54,5.95,6.57,7.1,7.48,7.63,7.91,7.94,8.08,7.42,8.24,8.5,8.53,8.96,10.08,11.05,11.98
E12000008,South East,4.17,4.43,4.75,5.35,5.88,6.38,7.22,7.58,7.84,8.02,8.4,8.22,7.28,8.09,8.05,7.99,8.26,8.56,9.13,9.75
E12000009,South West,3.78,3.96,4.24,4.59,5.04,5.98,7,7.68,7.99,8.02,8.29,8.03,7.24,7.76,7.61,7.59,7.53,7.78,8.17,8.54
W92000004,Wales,3,3.04,3.16,3.26,3.33,3.71,4.31,5.38,6.01,6.25,6.59,6.32,5.7,5.82,5.56,5.63,5.54,5.64,5.73,5.79
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,